Book Name,Author,actual NonVIP click,predicted NonVIP click
红楼之宝玉在开挂,北有凉城,0.0,-1.914741
论魂穿后的创世录,颓废作者的幻想乡,30.0,15.287934
[死神]归于,末世情缘,0.0,0.707355
她的少年,盛楚葵,0.0,2.362883
我眼里的你,俞伯牙,0.0,3.400624
[我的英雄学院]轰少年的成长史,小花不是hana,0.0,1.263658
游离在世界之外,汶水,0.0,1.524704
蓝色妖姬,舍灰,0.0,2.377667
（楚留香传奇）吃枣药丸的人生,安妧,0.0,1.459488
浮生梦,三千岁锦,0.0,1.765606
没想好,芊纸c,0.0,2.049478
狻猊,1847,0.0,1.805170
晚枫,念宰,3.0,5.298021
假戏真心,MS绮玖君,0.0,1.930791
嫂嫂万福,清风艳冶,0.0,0.128871
坠崖,本码,13.0,0.913753
我的暗卫画风不对!,万却无,3.0,2.637531
蝴蝶,温雅,0.0,2.362884
等不到了,钰绝,0.0,2.084511
少僧,侍香金童,0.0,0.832117
【刀剑乱舞】千年,程蓁,0.0,-0.397490
【第五人格】轮回,鸡汁百叶,0.0,0.724669
岁岁年年如朝夕,红豆三分糖,28.0,43.007971
反派的狐狸成精了！,奇怪的手工烤制薯仔,0.0,2.682757
记忆中的风,LILIN,23.0,2.410976
都是死党惹的祸,脚趾印,0.0,2.362884
「快穿」“天才”作者与她的冤种流量,清盏朝歌,0.0,0.680942
论假千金的自我修养,纯狐娘子,0.0,2.363049
君不知,落草未央,0.0,1.938970
柠檬不酸,嗄束,0.0,2.363048
愿后半生无你,小小饭饭橙,0.0,1.823731
骗子攻略指南,我才不是基佬,0.0,1.867295
震惊！秘魂屋老板竟然是他,诡怵君十三,0.0,0.063689
那些年被作业支配的恐惧,陌微凉生,0.0,2.322073
阎罗请柬,苏城哑人,0.0,1.122790
在离夏天最近的地方,草口一一,0.0,1.787634
（斗罗前传）枪魂,层绿,0.0,0.063854
自以为是,cutin,0.0,0.585630
纷飞于风,小梅子糖果,0.0,2.362884
快穿之我能拯救你,徐家老祖宗,0.0,0.688408
佛曰不可说,帕萨特,18.0,10.593627
【快穿】总有读者带我入坑,大碗菜,0.0,-0.189114
听说你跪求分手,Edwin梵九,8.0,2.333201
陆生,巴尼西格玛,4.0,10.007260
全世界都以为我死了,布丁琉璃,0.0,-0.058417
快穿宿主她真帅,坞木轻藤,0.0,1.523711
如生,罗德塞塔西亚,0.0,2.100678
他逆光走来,怀靡,0.0,2.420278
只爱陌生人,三丝炒米线,0.0,2.362880
发现前女友是现男友姐姐是前男友的现女友是什么体验,水映月兮,0.0,2.363046
